chromosome	windowbegin	windowend	Genes
NC_048595.1	403799183	403950949	LOC100769249, Myo1b
NW_023276806.1	 77099083	 77250874	LOC103161124, Fstl5
NC_048595.1	 72599203	 72750877	Kdm4c
NC_048599.1	 70499050	 70650844	LOC118239081, LOC100761621, Fshb
NC_048601.1	  1949050	  2100771	LOC113837152, LOC103164262
NW_023276806.1	 61949172	 62100662	LOC100761478, LOC107979013, LOC113838546, LOC100755736, LOC113838547, LOC100756032, LOC100756317, LOC113838545
NW_023276806.1	236249073	236400888	Galntl6
NW_023276807.1	 73049323	 73200734	LOC118239691
NC_048598.1	 15899101	 16050958	Desi2, Csr1, Adss2
NC_048597.1	 94799006	 94950707	Pop5, Rnf10, LOC113835678, Coq5, LOC103159222, LOC100762845, Srsf9, Triap1, LOC100764001, Msi1
NC_048595.1	396449439	396600915	Larp4, Dip2b
NC_048597.1	198299385	198450979	Snx14, Syncrip, Adapt15, LOC113835248, LOC113835186
NW_023276806.1	257549052	257700929	Cdkn1a, Rab44, Cpne5
NW_023276807.1	 99149121	 99300898	LOC100768060, LOC118239634
NW_023276807.1	101549184	101700841	Limk2, Pik3ip1, LOC113832299, Patz1, Drg1, Eif4enif1
NC_048595.1	400349011	400500997	Tpp2, LOC100751500, LOC118237850, LOC113831123
NC_048595.1	382349171	382500693	Wnt7b, LOC107978619, LOC113831382
NC_048603.1	 22949420	 23100921	LOC113837457
NC_048595.1	338699542	338850915	C6
NC_048600.1	  2999334	  3150794	Pigg, Tmem271, LOC118239177, Pde6b, Atp5me, Slc49a3
NC_048598.1	 76499126	 76650384	Pign
NC_048597.1	107549029	107700808	Tmem132d
NW_023276807.1	260249399	260400921	NA
NW_023276807.1	273449347	273600981	LOC100761751
NC_048604.1	 91949086	 92100805	LOC103159950, LOC107978163
NC_048595.1	265199239	265350874	Scml4, LOC113834293, Sobp
NW_023276806.1	175349052	175500872	NA
NC_048599.1	 24599082	 24750990	LOC118239091, LOC113836432, LOC103159636, Eif2s2, Raly
NW_023276806.1	 54149435	 54300852	Tshb, Tspan2, LOC113833217
NC_048604.1	102749063	102900993	NA
NC_048597.1	 76049433	 76200887	CUNH7orf50, Gpr146, LOC103164145, Gper1, LOC100770641, Zfand2a
NC_048595.1	331799047	331950565	Arl15, LOC100774785
NC_048600.1	 97049097	 97200813	Hnf1b, LOC118239212, Ddx52
NC_048595.1	241199313	241350997	LOC113831251, LOC107977236, LOC118238187, LOC103162901
NW_023276808.1	  8699284	  8850540	LOC113838052, LOC118239774, LOC113838105, LOC100753456
NC_048602.1	 25949185	 26100561	LOC103162296, LOC118237636, LOC113837919, LOC100752086, LOC100751624
NC_048595.1	 81599216	 81750903	LOC113833974
NC_048595.1	 77099004	 77250968	Brinp1
NC_048595.1	196049010	196200985	NA
NW_023276807.1	208799011	208950893	LOC103161741
NC_048601.1	 58649110	 58800892	Aak1, Nfu1, LOC103159270
NC_048595.1	   299220	   450964	Tnfrsf4, Sdf4, B3galt6, C1qtnf12, Ube2j2, Acap3, Pusl1, Ints11, Trnak-cuu-15, Cptp, Tas1r3, Dvl1, Mxra8
NC_048600.1	 12899047	 13050939	LOC118239214, Slc4a1ap, Supt7l, Gpn1, Ccdc121, Znf512, CUNH2orf16
NC_048604.1	109499023	109650950	LOC118237874, LOC107979490
NC_048595.1	155999429	156150843	LOC100760076, LOC100760372, Chchd7
NC_048595.1	334199056	334350853	LOC113834186
NC_048596.1	 86399081	 86550965	Psma1, Copb1, LOC118238554, LOC100771124
NC_048602.1	 10949084	 11100894	LOC113837328, Ccdc9, Bbc3, Sae1, Zc3h4
NC_048601.1	 95999116	 96150919	LOC113836958
NW_023276807.1	157799050	157950832	LOC113831015, Septin11, Ccni
NC_048595.1	 21149051	 21300942	Epb41
NC_048595.1	383549322	383700695	NA
NW_023276806.1	100199103	100350981	Elf2, Noct, LOC113833424, LOC113833412, LOC100765713
NW_023276806.1	 41399585	 41550892	Agl, Slc35a3
NC_048604.1	 37199365	 37350722	Chrdl1, LOC113837837
NC_048597.1	110699126	110850639	Auts2
NC_048595.1	 94949089	 95100833	Tex10, Invs
NW_023276806.1	 65849042	 66000987	Khdc4, Rxfp4, Arhgef2, Ssr2, Ubqln4, Lamtor2, Rab25, Mex3a, LOC113833106
NC_048597.1	 29249030	 29400627	NA
NC_048597.1	198449314	198600696	LOC113835186, LOC100767051, LOC118238679, LOC118238770, LOC113835216
NC_048596.1	219749017	219900978	NA
NC_048597.1	209399054	209550942	Msl2, Ppp2r3a, LOC103162924, LOC107979582, LOC113835536
NC_048595.1	251249202	251400823	LOC103160069
NC_048603.1	 27899196	 28050838	LOC118239367, LOC100773874, LOC118238115, LOC113837485, Trib1, LOC100764831, LOC103159000
NC_048604.1	125399097	125550992	Ndufb11, Rbm10, Uba1, Cdk16, Usp11, LOC118237794
NW_023276806.1	 48449005	 48600750	Gpsm2, Clcc1, LOC103163459, Wdr47, LOC103161732, Taf13, Tmem167b, LOC113831009, LOC113831010, CUNH1orf194, Elapor1
NC_048595.1	345449060	345600753	Pdzd2, LOC118238397
NC_048599.1	 60899018	 61050977	NA
NC_048595.1	 47549104	 47700997	LOC118238301
NC_048595.1	395099054	395250897	Cacnb3, Ddx23, Rnd1, LOC118238256, Ccdc65, Fkbp11, Arf3, Wnt10b
NW_023276807.1	122099084	122250896	Tbc1d19, LOC100765767, Stim2
NC_048602.1	 15899006	 16050992	LOC103158687, LOC113838068
NC_048600.1	 89399191	 89550937	Rph3al, LOC100760608, CUNH17orf97, Rflnb, Vps53
NC_048596.1	 50549117	 50700992	Incenp, LOC103160415, LOC113831951, LOC118238540, LOC113834777, LOC100753792, LOC113834970, LOC100753710
NC_048597.1	134099504	134250448	S1pr5, Atg4d, Kri1, Cdkn2d, Ap1m2, Slc44a2, Ilf3
NC_048601.1	  5699132	  5850632	Sox5
NC_048595.1	241649142	241800966	LOC103162901, LOC100760432
NC_048595.1	 22949230	 23100968	Col16a1, Adgrb2, Spocd1
NW_023276806.1	140849048	141000975	Tbc1d15, Tph2
NW_023276807.1	211199053	211350985	LOC100767270, LOC103159542, LOC113832734, LOC100766984, LOC113832733, LOC118239672, LOC113832732, LOC118239706, LOC100766105, LOC100754595, LOC100754310, LOC100754015, LOC100765811
NC_048596.1	142799388	142950993	NA
NC_048600.1	 32549009	 32700721	Tmem18
NC_048600.1	117149168	117300927	LOC100769844, Sppl2c, LOC100765120, LOC118238099
NC_048598.1	147449060	147600965	Snx6, LOC113836215, LOC113836221, LOC113836222, LOC113831800, LOC113835720, LOC113831803
NC_048595.1	381449237	381600638	LOC118238255, Prr5, Arhgap8
NC_048598.1	103799320	103950926	Slc24a4
NC_048598.1	137849127	138000876	Mis18bp1, Fancm, LOC113831399, Fkbp3
NC_048595.1	234749016	234900789	LOC100764551, Ctdp1
NC_048600.1	129449105	129600862	Mgat5b
